ID,Gender,Use_Facebook,Use_Twitter
1641,Male,Yes,No
1580,Female,No,No
1587,Male,No,No
3173,Female,Yes,No
1584,Female,No,No
3172,Female,Yes,No
1579,Male,Yes,No
1585,Female,Yes,No
2011,Female,No,No
1589,Female,Yes,No
1590,Female,Yes,Yes
2010,Female,Yes,No
1595,Male,No,Yes
20,Male,No,No
15,Male,No,No
375,Female,Yes,Yes
218,Female,No,No
157,Male,Yes,No
219,Male,No,No
121,Female,Yes,Yes
406,Male,No,No
371,Female,No,No
367,Male,Yes,Yes
366,Male,Yes,No
342,Female,Yes,No
3249,Male,No,No
970,Male,No,No
3259,Male,Yes,No
3260,Female,Yes,No
971,Male,No,No
966,Male,No,No
3258,Female,Yes,No
967,Female,Yes,Yes
351,Female,Yes,No
394,Female,Yes,Yes
397,Male,No,No
400,Female,Yes,No
403,Male,Yes,No
395,Female,Yes,No
399,Male,No,No
3178,Female,No,No
1700,Male,Yes,No
1706,Male,Yes,No
1705,Female,No,No
1708,Male,Yes,No
1701,Male,Yes,No
1702,Female,Yes,No
804,Female,Yes,Yes
805,Female,No,No
806,Female,Yes,No
807,Female,Yes,Yes
809,Female,No,No
811,Female,Yes,No
812,Male,Yes,No
815,Male,No,No
814,Male,No,No
818,Female,No,No
817,Male,Yes,No
819,Male,No,No
820,Male,Yes,Yes
821,Male,Yes,No
456,Male,Yes,No
455,Male,No,No
243,Male,Yes,Yes
297,Male,Yes,No
227,Male,No,No
175,Female,No,No
244,Male,No,No
438,Female,Yes,No
116,Male,Yes,No
130,Male,Yes,No
136,Female,No,No
134,Male,Yes,No
47,Female,Yes,No
124,Male,No,No
122,Male,No,No
118,Female,Yes,Yes
3272,Female,Yes,No
119,Female,Yes,Yes
120,Female,No,No
85,Female,Yes,Yes
450,Male,Yes,No
439,Female,Yes,No
248,Male,Yes,No
432,Female,No,No
134,Male,Yes,Yes
174,Male,Yes,No
198,Female,Yes,No
1122,Female,Yes,No
1121,Male,No,No
1116,Female,No,No
3306,Male,No,No
1329,Female,No,No
1118,Female,Yes,No
3354,Male,Yes,Yes
1334,Female,Yes,Yes
1338,Female,Yes,Yes
1336,Female,No,No
1340,Female,Yes,No
3355,Male,Yes,No
1834,Female,Yes,No
1835,Male,Yes,No
1839,Male,No,No
2269,Female,Yes,No
2271,Female,No,No
2788,Female,No,No
2275,Female,Yes,No
2272,Female,Yes,No
2277,Female,No,No
2278,Female,Yes,No
805,Female,No,Yes
3311,Female,Yes,Yes
806,Female,No,No
809,Male,Yes,Yes
3309,Male,Yes,Yes
817,Male,No,No
812,Male,No,No
3282,Male,No,No
2826,Male,No,No
814,Female,Yes,No
813,Female,Yes,Yes
3284,Female,Yes,No
815,Male,No,No
816,Female,Yes,No
1149,Female,No,No
2378,Female,No,Yes
1135,Female,No,No
1137,Female,No,No
1138,Male,Yes,No
1143,Female,Yes,No
1146,Female,Yes,No
1144,Female,No,No
2111,Male,Yes,No
2110,Female,Yes,No
1148,Male,No,No
1147,Female,Yes,No
823,Female,Yes,No
824,Female,No,No
827,Female,Yes,No
826,Female,No,No
832,Male,Yes,No
835,Female,Yes,No
834,Female,No,Yes
840,Female,No,No
843,Male,Yes,Yes
842,Female,No,No
232,Male,No,No
235,Female,Yes,No
236,Female,No,No
237,Male,No,No
240,Female,Yes,No
241,Male,Yes,Yes
242,Female,No,No
243,Female,No,No
247,Male,Yes,Yes
123,Female,Yes,No
124,Female,Yes,Yes
240,Female,Yes,Yes
239,Female,No,No
249,Female,Yes,No
143,Female,Yes,No
242,Male,Yes,No
142,Female,No,No
164,Male,No,No
241,Male,Yes,Yes
254,Female,Yes,No
251,Male,Yes,No
257,Male,No,Yes
258,Male,No,No
259,Female,No,No
260,Female,No,No
264,Female,Yes,No
263,Male,Yes,No
267,Male,Yes,No
266,Male,No,Yes
268,Female,No,No
272,Female,Yes,No
934,Female,Yes,No
938,Female,No,No
2716,Female,No,No
2715,Male,No,No
936,Male,No,No
2710,Male,No,No
2709,Male,No,No
2708,Female,No,No
2707,Female,Yes,No
2712,Female,No,No
2706,Male,No,No
2714,Male,Yes,No
2705,Male,Yes,No
1208,Male,No,No
2704,Male,No,No
2718,Female,No,No
1207,Male,No,No
2713,Male,No,No
937,Male,No,No
176,Male,No,No
169,Female,No,No
165,Female,Yes,No
168,Male,Yes,No
162,Male,Yes,Yes
167,Male,Yes,No
163,Female,Yes,Yes
158,Female,Yes,Yes
157,Male,Yes,Yes
173,Female,Yes,No
336,Female,No,No
133,Female,No,No
304,Male,No,No
326,Female,Yes,No
211,Female,No,No
369,Female,Yes,No
337,Female,Yes,No
354,Male,Yes,Yes
3435,Female,No,No
2042,Female,Yes,Yes
3436,Female,No,No
3437,Male,No,No
3651,Male,No,No
2047,Female,No,No
3721,Male,Yes,No
3652,Female,No,No
3653,Male,No,No
1630,Female,Yes,No
3656,Male,No,No
1625,Male,No,Yes
1623,Male,Yes,No
1621,Male,No,No
3722,Male,Yes,Yes
1628,Female,No,No
3543,Male,No,No
1622,Female,Yes,No
1624,Female,Yes,No
1464,Female,Yes,No
1462,Male,Yes,No
1469,Male,No,No
1461,Female,Yes,No
1465,Female,Yes,No
1470,Male,Yes,Yes
1471,Female,Yes,Yes
2756,Female,Yes,No
1472,Female,Yes,Yes
1478,Female,No,No
1479,Female,No,No
1475,Male,Yes,Yes
2383,Male,No,No
2386,Male,No,No
2392,Male,Yes,No
2384,Male,No,Yes
2391,Female,Yes,Yes
2393,Male,Yes,Yes
2390,Male,No,No
2387,Female,Yes,No
2388,Male,No,No
2395,Female,Yes,No
2404,Male,Yes,Yes
2399,Male,Yes,No
2398,Female,Yes,No
1041,Male,No,No
1044,Male,Yes,No
1049,Female,Yes,No
1055,Female,No,No
1046,Male,No,No
1047,Female,No,No
168,Female,Yes,No
237,Female,Yes,No
166,Female,Yes,Yes
209,Female,Yes,No
378,Female,No,No
169,Female,Yes,Yes
391,Female,No,No
167,Female,Yes,Yes
283,Male,No,No
238,Female,Yes,No
350,Male,No,Yes
314,Male,No,No
313,Female,No,No
315,Male,No,No
230,Male,Yes,No
376,Female,No,No
340,Female,Yes,No
341,Male,Yes,No
365,Male,No,No
364,Male,No,No
278,Female,No,No
279,Male,No,No
543,Female,Yes,No
554,Male,Yes,No
551,Female,No,No
549,Female,No,No
552,Female,Yes,No
546,Female,Yes,No
532,Male,Yes,No
533,Female,Yes,Yes
534,Female,Yes,Yes
540,Male,No,No
535,Female,No,No
541,Male,No,No
537,Female,No,No
414,Female,Yes,No
409,Female,Yes,No
386,Male,Yes,No
387,Male,No,No
463,Female,Yes,No
384,Male,Yes,No
383,Female,Yes,No
388,Female,Yes,Yes
416,Female,Yes,No
417,Male,No,No
381,Female,Yes,No
410,Male,No,No
385,Male,Yes,Yes
415,Female,Yes,No
411,Female,No,No
413,Male,Yes,No
382,Male,No,Yes
412,Female,Yes,No
39,Female,Yes,No
106,Male,No,No
120,Male,No,No
38,Female,Yes,Yes
45,Female,No,No
119,Male,Yes,Yes
272,Female,Yes,Yes
270,Female,Yes,No
34,Male,No,No
276,Female,No,No
278,Female,Yes,No
281,Female,Yes,No
286,Male,No,No
288,Female,No,No
290,Male,Yes,No
291,Female,Yes,No
293,Female,No,No
297,Female,No,No
295,Male,No,No
309,Female,No,No
328,Male,Yes,No
281,Female,No,No
408,Male,Yes,No
280,Female,Yes,No
387,Male,No,No
390,Male,Yes,No
391,Male,Yes,No
3723,Male,Yes,No
393,Female,Yes,No
3655,Male,No,No
1093,Male,No,No
1082,Female,No,No
1090,Male,Yes,No
1089,Male,No,No
1083,Female,Yes,No
1084,Female,Yes,No
1080,Male,Yes,No
1081,Female,Yes,No
1088,Female,Yes,Yes
292,Male,No,No
2977,Male,Yes,No
2976,Female,No,No
299,Male,No,No
300,Female,No,No
301,Female,Yes,No
305,Female,Yes,No
2978,Male,Yes,No
306,Male,No,No
2979,Male,No,No
311,Male,No,No
312,Male,No,No
296,Male,No,No
299,Male,Yes,No
301,Female,Yes,No
303,Female,Yes,No
306,Female,Yes,Yes
305,Female,Yes,No
310,Male,No,No
308,Male,Yes,No
317,Female,Yes,No
322,Female,No,No
328,Male,Yes,No
342,Female,Yes,No
349,Male,Yes,No
2850,Male,No,No
2867,Male,Yes,No
2853,Male,Yes,Yes
2861,Male,No,No
2865,Male,No,No
2859,Male,No,No
2856,Male,Yes,No
738,Female,No,No
743,Male,No,No
740,Female,No,No
742,Male,No,No
754,Male,No,No
749,Female,Yes,No
3625,Male,No,No
752,Female,Yes,No
751,Female,Yes,No
3622,Female,No,No
2430,Female,Yes,No
2431,Male,Yes,Yes
2157,Male,Yes,Yes
1418,Male,No,No
1420,Male,Yes,No
2150,Female,Yes,No
2148,Male,No,No
354,Male,Yes,Yes
353,Female,No,No
358,Female,No,No
359,Male,Yes,Yes
355,Female,Yes,No
362,Male,No,No
364,Male,Yes,Yes
365,Female,Yes,Yes
369,Female,Yes,No
371,Female,Yes,Yes
372,Male,No,No
370,Male,No,No
376,Female,Yes,No
382,Female,Yes,No
384,Female,Yes,No
385,Female,Yes,No
387,Male,Yes,No
391,Female,No,No
396,Female,No,No
3720,Male,Yes,No
2526,Male,Yes,No
2528,Male,Yes,Yes
2172,Male,No,No
3719,Male,No,No
2529,Female,No,No
2530,Male,Yes,No
3654,Male,No,No
3718,Male,Yes,No
2175,Female,Yes,No
3717,Male,No,No
2181,Female,Yes,Yes
3715,Male,No,No
2177,Female,No,No
2180,Female,No,No
3714,Male,No,No
154,Male,Yes,No
10,Male,No,No
226,Male,No,No
41,Female,Yes,No
86,Female,Yes,No
23,Female,Yes,No
100,Male,Yes,No
40,Male,No,No
88,Male,Yes,No
87,Male,Yes,No
109,Female,Yes,No
271,Female,No,No
151,Female,No,No
108,Male,No,No
110,Female,Yes,No
118,Male,Yes,No
192,Female,No,No
116,Female,No,No
114,Female,No,No
115,Female,No,No
117,Male,No,No
126,Male,No,No
207,Female,Yes,Yes
310,Female,Yes,Yes
311,Male,No,No
426,Male,No,No
208,Female,No,No
433,Female,Yes,Yes
284,Male,Yes,No
342,Female,No,No
232,Female,Yes,No
2560,Female,Yes,No
2219,Female,Yes,No
2218,Male,No,No
2221,Female,No,No
2217,Male,No,No
2230,Female,No,No
2226,Female,No,No
2231,Male,No,No
2223,Male,Yes,Yes
74,Female,Yes,Yes
75,Female,No,No
79,Male,No,No
80,Male,Yes,Yes
84,Male,Yes,No
87,Male,Yes,Yes
92,Male,Yes,Yes
93,Female,No,No
2028,Male,Yes,Yes
2022,Female,Yes,No
2031,Female,Yes,No
3643,Male,No,No
2025,Female,Yes,Yes
2820,Male,No,No
2032,Male,No,No
3639,Female,No,No
3640,Male,No,No
106,Female,Yes,Yes
103,Female,No,No
105,Female,Yes,No
101,Male,No,Yes
111,Male,No,No
110,Male,Yes,Yes
112,Female,No,No
113,Female,Yes,No
117,Female,Yes,No
321,Female,Yes,No
298,Male,Yes,No
323,Male,Yes,No
294,Female,No,No
263,Male,Yes,No
265,Male,No,No
291,Male,Yes,Yes
264,Female,Yes,No
262,Male,Yes,No
292,Female,Yes,No
293,Male,Yes,Yes
301,Female,No,No
267,Female,No,No
299,Female,Yes,No
266,Male,No,No
322,Male,Yes,No
324,Male,No,No
325,Female,Yes,No
302,Female,No,No
300,Female,No,No
303,Male,Yes,No
43,Female,Yes,No
916,Female,No,No
921,Male,Yes,No
928,Male,Yes,No
922,Male,Yes,Yes
259,Female,Yes,Yes
267,Female,Yes,No
1153,Male,Yes,No
1154,Female,Yes,Yes
1159,Female,Yes,Yes
119,Female,No,No
123,Female,Yes,No
127,Male,Yes,No
128,Male,Yes,No
130,Male,Yes,Yes
135,Female,Yes,No
136,Male,No,No
139,Male,Yes,Yes
142,Male,No,No
143,Female,Yes,No
145,Male,No,No
147,Female,No,No
149,Female,Yes,No
154,Female,No,No
158,Female,No,No
161,Male,Yes,No
643,Male,No,No
637,Female,Yes,No
638,Male,Yes,No
1597,Male,No,No
1598,Female,Yes,No
640,Female,Yes,No
641,Male,No,No
1608,Female,No,No
1600,Female,No,No
645,Male,No,No
3441,Male,No,No
1801,Male,Yes,No
1802,Male,Yes,No
3631,Female,Yes,No
3630,Male,Yes,No
3440,Female,No,No
3637,Female,No,No
1792,Male,No,No
1794,Female,No,No
1798,Female,Yes,No
392,Male,No,No
394,Female,Yes,No
393,Female,No,No
356,Female,Yes,No
357,Female,Yes,Yes
355,Female,Yes,Yes
405,Male,Yes,No
362,Male,No,No
358,Male,No,No
359,Female,Yes,No
363,Female,No,No
431,Male,Yes,No
430,Male,Yes,No
360,Female,No,No
361,Male,No,No
664,Male,No,No
667,Female,Yes,No
670,Female,Yes,No
673,Female,No,No
3006,Female,No,No
3003,Female,Yes,Yes
679,Female,Yes,No
14,Female,Yes,No
16,Female,No,No
17,Female,Yes,No
273,Female,No,No
13,Female,No,No
26,Female,No,No
138,Female,No,Yes
474,Female,No,No
173,Female,No,No
178,Female,No,No
1511,Female,No,No
1845,Female,Yes,No
1846,Female,Yes,No
1842,Female,Yes,No
3267,Female,Yes,Yes
1849,Female,No,No
1847,Female,Yes,No
1502,Male,No,No
1510,Male,Yes,No
1507,Female,Yes,Yes
3264,Male,No,No
1508,Male,Yes,No
570,Male,Yes,Yes
2719,Female,No,No
569,Female,No,No
565,Female,Yes,No
568,Female,No,No
470,Male,Yes,No
476,Male,No,No
475,Male,Yes,No
480,Male,No,No
473,Male,Yes,No
2762,Male,Yes,Yes
481,Male,No,No
474,Female,Yes,No
187,Female,No,No
185,Male,Yes,Yes
190,Female,Yes,No
195,Female,No,No
198,Male,No,No
197,Male,No,No
200,Male,No,No
199,Female,No,No
202,Male,No,No
203,Male,Yes,No
207,Female,Yes,No
692,Male,Yes,Yes
694,Female,No,No
699,Female,Yes,No
696,Female,No,No
1067,Male,Yes,No
1066,Female,Yes,No
1072,Male,No,No
1068,Female,Yes,Yes
1069,Female,No,No
1074,Male,No,No
1551,Female,No,No
2640,Female,No,No
2641,Female,No,No
2644,Male,No,No
2651,Female,Yes,No
2648,Male,No,No
2652,Female,No,No
2655,Male,Yes,No
2649,Female,Yes,Yes
762,Female,Yes,No
761,Female,Yes,Yes
758,Female,Yes,No
763,Female,No,No
1540,Female,No,No
1537,Female,No,No
1539,Female,No,No
1534,Male,Yes,No
1543,Male,Yes,Yes
1533,Male,No,No
2544,Male,Yes,No
2549,Female,No,No
2541,Female,No,No
2550,Female,Yes,No
1345,Female,Yes,No
1349,Male,Yes,No
1344,Female,No,No
2471,Male,Yes,No
1189,Male,No,No
2628,Female,No,No
2629,Female,Yes,Yes
2475,Male,Yes,No
2476,Male,No,No
2477,Female,Yes,No
2481,Male,Yes,Yes
2474,Male,Yes,Yes
2627,Female,No,No
2478,Female,Yes,No
98,Female,Yes,No
104,Male,Yes,No
83,Female,Yes,No
97,Male,Yes,No
102,Male,Yes,No
96,Male,No,No
88,Male,Yes,Yes
92,Male,No,No
95,Female,Yes,No
89,Male,No,No
